source;translation;type;module;status;customer
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Direktorija %s nav pieejama tīkla servera lietotāja ierakstiem. Lūdzu aizvāciet to vai iestādiet rakstīšanas atļaujas.";S;;T;N
"Failed to delete %s filter(s)";"Neizdevās izdzēst %s filtru(s)";S;;T;N
"%s filter(s) successfully deleted";"%s filtrs(i) veiksmīgi izdzēsti";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Neizdevās ielādēt noklusējuma e-pasta kontu. Lūdzu pārbaudiet sava e-pasta konta uzstādījumus.";S;;T;N
"View name must be unique";"Apskates vārdam jābūt unikālam";S;;T;N
"Maximum length of %s in %s is %s";"Maksimālais %s garums %s ir %s";S;;T;N
"Relation constraint";"Attiecas ierobežojums";S;;T;N
"must be unique";"jābūt unikālam";S;;T;N
"Error changing theme";"Kļūda tēmas nomaiņā";S;;T;N
"Theme changed";"Tēma nomainīta";S;;T;N
"Failed to delete %s wallpaper(s)";"Neizdevās dzēst %s tapeti(es)";S;;T;N
"%s wallpaper(s) successfully deleted";"%s tapete(s) veiksmīgi dzēstas";S;;T;N
"Failed to save wallpaper with error %s";"Neizdevās saglabāt tapeti. Kļūda %s";S;;T;N
"Wallpaper saved.";"Tapete saglabāta.";S;;T;N
"Side bar saved";"Malējais bārs saglabāts";S;;T;N
"Windows saved";"Logi saglabāti";S;;T;N
"Quick Launch saved";"Ātrā Palaišana saglabāta";S;;T;N
"File does not exist";"Fails neeksistē";S;;T;N
"File was successfully uploaded";"Fails veiksmīgi ielādēts";S;;T;N
"Unsupported gadget";"Neatbalstīts sīkrīks";S;;T;N
"Gadget";"Sīkrīks";S;;T;N
"Gadget added";"Sīkrīks pievienots";S;;T;N
"Failed to close gadget";"Neizdevās aizvērt sīkrīku";S;;T;N
"Gadget successfully closed";"Sīkrīks veiksmīgi aizvērts";S;;T;N
"Docking";"Dokings";S;;T;N
"Gadgets saved";"Sīkrīki saglabāti";S;;T;N
"Create Account";"Izveidot kontu";B;;T;N
"Account is already created.";"Konts jau izveidots.";S;;T;N
"Create Database";"Izveidot datu bāzi";B;;T;Y
"Could not create database. %s";"Neizdevās izveidot datu bāzi. %s";S;;T;N
"doesnt exist's";"neeksistē";S;;T;N
"Internal error";"Iekšēja kļūda";B;;T;Y
"Error during database creation.";"Kļūda datu bāzes izveidošanas procesā.";S;;T;N
"OK";"OK";B;;T;Y
"Failed to read headers of CSF file %s";"Neizdevās nolasīt virsrakstus CSF failam %s";S;;T;N
"Could not change permissions %s";"Neizdevās nomainīt atļaujas %s";S;;T;N
"Could not open file";"Neizdevās atvērt failu";S;;T;N
"Could not read file";"Neizdevās nolasīt failu";S;;T;N
"Rewind unsupported in this file stream";"Atpakaļtīšana šajā failu plūsmā netiek atbalstīta";S;;T;N
"File %s does not exist.";"Fails %s neeksistē.";S;;T;N
"Failed to read file %s";"Neizdevās nolasīt failu %s";S;;T;N
"Could not create directory %s";"Neizdevās izveidot direktoriju %s";S;;T;N
"Could not open language file %s";"Neizdevās atvērt valodu failu %s";S;;T;N
"Level";"Līmenis";S;;T;N
"Message";"Ziņa";B;;T;Y
"File";"Fails";S;;T;N
"Line";"Līnija";B;;T;Y
"Group ID";"Grupas ID";S;;T;N
"Log event";"Žurnāla ieraksts";S;;T;N
"Event(s) are deleted";"Ieraksts(i) dzēsts(i)";S;;T;N
"Debug event(s) are deleted";"Lāgošanas notikums(i) saglabāts(i)";S;;T;N
"Mail Account Name";"E-pasta konta nosaukums";S;;T;N
"From Name";"No vārda";B;;T;Y
"From Email";"No e-pasta";S;;T;N
"Use SMTP protocol";"Izmatot SMTP protokolu";S;;T;N
"SMTP Server";"SMTP serveris";B;;T;N
"SMTP Port";"SMTP ports";B;;T;Y
"SMTP Authentication";"SMTP autorizācija";S;;T;N
"Use SSL connection";"Izmantot SSL pieslēgumu";S;;T;N
"SMTP Username";"SMTP lietotājvārds";S;;T;N
"Is default mail account";"Ir noklusējuma e-pasta konts";S;;T;N
"Yes";"Jā";B;;T;N
"No";"Nē";B;;T;N
"Email account test mail";"E-pasta konta pārbaudes epasts";B;;T;Y
"Default Mail Account";"Noklusējuma e-pasta konts";S;;T;N
"Email settings saved";"E-pasta iestatījumi saglabāti";S;;T;N
"Failed to restart %s row(s)";"Neizdevās pārstartēt %s rindu(as)";S;;T;N
"%s row(s) successfully restarted";"%s rinda(s) veiksmīgi pārstartētas";S;;T;N
"To recipients";"Saņēmējiem";S;;T;N
"Mail subject";"E-pasta tēma";S;;T;N
"Scheduled at";"Ieplānots";S;;T;N
"Last retry";"Pēdējais atkārtotais mēģinājums";S;;T;N
"Retry number";"Atkārtotā mēģinājuma nummurs";S;;T;N
"Error message";"Kļūdas ziņa";S;;T;N
"Account name";"Konta nosaukums";B;;T;N
"Server Date";"Servera datums";S;;T;N
"Server Time";"Servera laiks";S;;T;N
"Mail template not defined in database for class %s";"E-pasta veidne nav definēta datu bāzē kategorijai %s ";S;;T;N
"Recipients empty";"Adresāta lauciņš navaizpildīts";S;;T;N
"Body of mail not specified";"E-pasta saturs nav aizpildīts";S;;T;N
"From address is empty";"Izejošā e-pasta adrese nav norādīta";S;;T;N
"Failed to init mail headers";"Neizdevās atpazīt e-pasta hederu";S;;T;N
"Email transfer method error";"Kļūda e-pasta pārsūtīšanas metodē";S;;T;N
"Application Title";"Post Affiliate Pro ";S;;T;N
"Proxy server settings saved.";"Proxy servera iestatījumi saglabāti.";S;;T;N
"Failed to load proxy server settings.";"Neizdevās ielādēt proxy servera iestatījumus.";S;;T;N
"Pdf saved";"Pdf saglabāts";S;;T;N
"Path to save file '%s' not exist";"Ceļš uz '%s' failu neeksistē";S;;T;N
"Unable to create file %s%s.pdf";"Nevar izveidot failu %s%s.pdf";S;;T;N
"Pdf output: %s";"Pdf rezultāts: %s";S;;T;N
"Role";"Loma";B;;T;N
"Logged in";"Pievienojies";S;;T;N
"Last Request";"Pēdējais pieprasījums";S;;T;N
"entries";"vienības";S;;T;N
"SettingsImportExportDescription";"UzstādījumiImportsEksportsApraksts";B;;T;Y
"Undefined table name";"Nedefinēts tabulas nosaukums";S;;T;N
"Undefined $option";"Nedefinēta $opcija";S;;T;N
"Table alias must by defined";"Tabulas aizstājvārdam jābūt definētam";S;;T;N
"equals";"vienāds";S;;T;N
"not equals";"nav vienāds";S;;T;N
"is like";"ir līdzīgs";S;;T;N
"is not like";"nav līdzīgs";S;;T;N
"is greater";"ir lielāks";S;;T;N
