source;translation;type;module;status;customer
"Filter added";"Filtro aggiunto";S;;T;N
"Field";"Campo";S;;T;N
"Code";"Codice";B;;T;N
"New field";"Nuovo campo";S;;T;N
"Can not create field";"Impossibile creare il campo";S;;T;N
"Failed to delete %s row(s)";"Cancellazione %s righe non riuscita";S;merchant;T;N
"%s row(s) successfully deleted";"%s riga(e) correttamente cancellata";S;merchant;T;N
"Active view changed";"Visuale attiva cambiata";S;;T;N
"Error while changing active view";"Errore durante il cambiamento della visuale attiva";S;;T;N
"View does not exist";"Visuale non esiste!";S;;T;N
"Default view can not be modified";"La visuale predefinita non puo essere modificata";S;;T;N
"Error while saving view ";"Errore durante il salvataggio della visuale";S;;T;N
"Default view can not be deleted";"La visuale predefinita non puo essere cancellata";S;;T;N
