source;translation;type;module;status;customer
"Username must be valid email address";"ユーザー名は有効な電子メールアドレスである必要があります。";S;;T;N
"You have to agree with terms & conditions";"お取引条件に同意頂く必要があります。";B;;T;N
"is mandatory";"必須項目です。";B;;T;N
"Payout settings saved";"ペイアウト設定が保存されました。";S;merchant;T;N
"Affiliate details";"アフィリエイト詳細";B;merchant;T;N
"Date joined";"参加日";B;;T;N
"Date approved";"承認日";B;merchant;T;N
"Parent";"上位アフィリエイト";S;merchant;T;N
"Firstname";"名";B;;T;N
"Lastname";"姓";B;;T;N
"Parent ID";"上位 ID";S;merchant;T;N
"Parent username";"上位ユーザー名";S;merchant;T;N
"Parent first name";"上位者 名";S;merchant;T;N
"Parent last name";"上位者 姓";S;merchant;T;N
"AffiliatesImportExportDescription";"アフィリエイトデータ：　新規アフィリエイトのシステムへのロードに使用できます。";B;merchant;T;N
"Status successfully set to selected url(s)";"ステータスは選択されたURLにうまくセットされました。";S;merchant;T;N
"Failed to set status selected url(s)";"選択されたURLへのステータスのセットに失敗しました。";S;merchant;T;N
"Commission group";"コミッショングループ";B;;T;N
"Commision group";"コミッショングループ";S;merchant;T;N
"Selected commission group(s) are changed";"選択されたコミッショングループは変更されました。";S;merchant;T;N
"Changes saved";"変更が保存されました。";S;;T;N
"Application Name";"Post Affiliate Pro";S;;N;N
"New password URL";"新規パスワードのURL";S;;T;N
"Request valid until";"リクエスト有効期限";S;;T;N
"Request new password";"新規パスワードのリクエスト";B;;T;N
"Wrong username/password";"ユーザー名またはパスワードが間違っています。";S;;T;N
"Select account";"アカウントの選択";B;;T;N
"Authentication failed";"認証に失敗しました。";S;;T;N
"User authenticated. Logging in.";"ユーザーは承認されました。ログインしています。";S;;T;N
"You entered invalid security code";"有効でないセキュリティコードが入力されました。";S;;T;N
"You entered invalid username";"有効でないユーザー名が入力されました。";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"パスワードのリセットの仕方の説明メールが数分程で届きます。";S;;T;N
"Your password was changed. Go back to login dialog and login.";"パスワードが変更されました。ログインダイアログに戻りログインして下さい。";S;;T;N
"Logout error";"ログアウト エラー";S;;T;N
"Logout successful";"うまくログインできました。";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"無効なパスワードリクエストです。パスワードの設定の前に、新しいパスワードを再度リクエストする必要があります。";S;;T;N
"User account not approved yet";"ユーザーアカウントはまだ承認されていません。";S;;T;N
"File to export is not defined";"ファイルからのエクスポートが定義されていません。";S;;T;N
"Unsupported";"サポートされていません。";S;;T;N
"Import file is not defined";"インポートファイルが定義されていません。";S;;T;N
"Export data";"エクスポートデータ";B;;T;N
"Data was successfully exported to file %s";"データはファイル %s にうまくエクスポートされました。";S;;T;N
"File name";"ファイル名";B;;T;N
"Modules";"モジュール";S;;T;N
"Size";"サイズ";S;;T;N
"Could not create account. (%s)";"アカウントが作成できませんでした。 (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"%s ディレクトリはウェブサーバーユーザーが書き込みできません。削除するか書き込み権限をセットして下さい。";S;;T;N
"Failed to delete %s filter(s)";"Failed to delete %s filter(s)";S;;N;N
"%s filter(s) successfully deleted";"フィルター %s はうまく削除されました。";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"デフォルトメールアカウントのロードに失敗しました。メールアカウント設定をチェックしてみて下さい。";S;;T;N
"View name must be unique";"ビューネームはユニークである必要があります。";S;;T;N
"Maximum length of %s in %s is %s";"%s における %s の最大の長さは %s です。";S;;T;N
"Relation constraint";"リレーション コンストレイント";S;;T;N
"must be unique";"ユニークである必要があります。";S;;T;N
"Error changing theme";"エラー：　テーマの変更に失敗しました。";S;;T;N
"Theme changed";"テーマが変更されました。";S;;T;N
"Failed to delete %s wallpaper(s)";"壁紙 %s の削除に失敗しました。";S;;T;N
"%s wallpaper(s) successfully deleted";"壁紙 %s はうまく削除されました。";S;;T;N
"Failed to save wallpaper with error %s";"壁紙の保存に失敗しました：　エラー %s　";S;;T;N
"Wallpaper saved.";"壁紙が保存されました。";S;;T;N
"Side bar saved";"サイドバーが保存されました。";S;;T;N
"Windows saved";"ウィンドウが保存されました。";S;;T;N
"Quick Launch saved";"クイックラウンチが保存されました。";S;;T;N
"File does not exist";"ファイルが存在しません。";S;;T;N
"File was successfully uploaded";"ファイルはうまくアップロードされました。";S;;T;N
"Unsupported gadget";"未サポートのガジェットです。";S;;T;N
"Gadget";"ガジェット";S;;T;N
